Phase Formation,Alloy,Dmax
CRA,Ag10.5Cu80.5P9,0
CRA,Ag10Ce3Cu87,0
CRA,Ag10Ce5Cu85,0
CRA,Ag10Mg50Y40,0
CRA,Ag10Mg85Y5,0
CRA,Ag11Cu38Fe51,0
CRA,Ag12.2Cu81.5P6.3,0
CRA,Ag13Cu32Fe55,0
CRA,Ag14Cu78.5P7.5,0
CRA,Ag15Ce4Cu81,0
CRA,Ag15Cu49Fe36,0
CRA,Ag15Cu83Fe2,0
CRA,Ag17Cu20Fe63,0
CRA,Ag17Cu41Fe42,0
CRA,Ag20.9Pd62.6Si16.5,0
CRA,Ag20Ce3Cu77,0
CRA,Ag20Ce4Cu76,0
CRA,Ag20Ce5Cu75,0
CRA,Ag20Mg20Y60,0
CRA,Ag21Cu42Fe37,0
CRA,Ag22Cu41Fe37,0
CRA,Ag22Cu51Fe27,0
CRA,Ag23Cu10Fe67,0
CRA,Ag24Cu31Fe45,0
CRA,Ag25Cu25Fe50,0
CRA,Ag26Cu23Fe51,0
CRA,Ag26Cu44Fe30,0
CRA,Ag27Cu31Fe42,0
CRA,Ag27Cu73,0
CRA,Ag28Cu45Fe27,0
CRA,Ag29Cu31Fe40,0
CRA,Ag30Ce3Cu67,0
CRA,Ag30Ce5Cu65,0
CRA,Ag30Mg20Y50,0
CRA,Ag31Cu37Fe32,0
CRA,Ag31Cu49Fe20,0
CRA,Ag31Cu55Fe14,0
CRA,Ag32Cu66Fe2,0
CRA,Ag35Ce3Cu62,0
CRA,Ag36Cu30Fe34,0
CRA,Ag37Cu6Fe57,0
CRA,Ag40Ce1Cu59,0
CRA,Ag40Ce2Cu58,0
CRA,Ag40Cu12Fe48,0
CRA,Ag40Cu40Fe20,0
CRA,Ag40Cu47Fe13,0
CRA,Ag40Mg20Y40,0
CRA,Ag42Fe58,0
CRA,Ag45Ce2Cu53,0
CRA,Ag48Cu52,0
CRA,Ag48Fe52,0
CRA,Ag49Cu29Fe22,0
CRA,Ag5.5Cu87P7.5,0
CRA,Ag50Ce2Cu48,0
CRA,Ag50Fe50,0
CRA,Ag50Mg20Y30,0
CRA,Ag50Mg40Y10,0
CRA,Ag51Cu13Fe36,0
CRA,Ag52Fe48,0
CRA,Ag55Fe45,0
CRA,Ag58Cu32Fe10,0
CRA,Ag5Ce5Cu90,0
CRA,Ag5Ce6Cu89,0
CRA,Ag5Ce8Cu87,0
CRA,Ag5Mg85Y10,0
CRA,Ag5Mg90Y5,0
CRA,Ag60Ce10Cu30,0
CRA,Ag60Ce3Cu37,0
CRA,Ag60Ce5Cu35,0
CRA,Ag60Mg20Y20,0
CRA,Ag61Fe39,0
CRA,Ag62Cu30Fe8,0
CRA,Ag63Cu8Fe29,0
CRA,Ag63Fe37,0
CRA,Ag67Fe33,0
CRA,Ag6Ce8Cu86,0
CRA,Ag7.5Cu86P6.5,0
CRA,Ag70Ce10Cu20,0
CRA,Ag70Ce5Cu25,0
CRA,Ag70Fe30,0
CRA,Ag7Cu84.5P8.5,0
CRA,Ag84Fe16,0
CRA,Ag9Cu82.5P8.5,0
CRA,Ag9Cu84.5P6.5,0
CRA,Ag9Cu85P6,0
CRA,Al10Ce10Cu80,0
CRA,Al10Ce2Cu88,0
CRA,Al10Ce4Cu86,0
CRA,Al10Ce6Cu84,0
CRA,Al10Cu10La80,0
CRA,Al10Cu10Ti80,0
CRA,Al10Cu20La70,0
CRA,Al10Cu20Ti70,0
CRA,Al10Cu50La40,0
CRA,Al10Cu60La30,0
CRA,Al10Cu70La20,0
CRA,Al10Cu70Ti20,0
CRA,Al10Cu80La10,0
CRA,Al10Cu80Nd10,0
CRA,Al10Cu84Nd6,0
CRA,Al10Cu86Nd4,0
CRA,Al10Cu88Nd2,0
CRA,Al10La10Ni80,0
CRA,Al10La20Ni70,0
CRA,Al10La25Ni65,0
CRA,Al10La90,0
CRA,Al10Mg40Zn50,0
CRA,Al10Mg50Zn40,0
CRA,Al10Mg60Zn30,0
CRA,Al10Mg80Zn10,0
CRA,Al10Mg85Zn5,0
CRA,Al10Ni45Ti45,0
CRA,Al10Ni5Zr85,0
CRA,Al10Ni70Ti20,0
CRA,Al10Ni70Zr20,0
CRA,Al10Ni80Zr10,0
CRA,Al10Ti90,0
CRA,Al12B10Co78,0
CRA,Al12B10Fe78,0
CRA,Al12B14Co74,0
CRA,Al12B14Ni74,0
CRA,Al12B6Co82,0
CRA,Al12B6Fe82,0
CRA,Al12Ce10Cu78,0
CRA,Al12Ce6Cu82,0
CRA,Al12Cu78Nd10,0
CRA,Al12Cu82Nd6,0
CRA,Al12Cu84Nd4,0
CRA,Al14Ce10Cu76,0
CRA,Al14Ce6Cu80,0
CRA,Al14Ce8Cu78,0
CRA,Al14Cu76Nd10,0
CRA,Al14Cu78Nd8,0
CRA,Al14Cu80Nd6,0
CRA,Al14Cu82Nd4,0
CRA,Al15Fe56.7Tb28.3,0
CRA,Al15La25Ni60,0
CRA,Al15Mg70Zn15,0
CRA,Al15Mg75Zn10,0
CRA,Al15Mg80Zn5,0
CRA,Al15Ni75Zr10,0
CRA,Al16B10Co74,0
CRA,Al16B10Fe74,0
CRA,Al16B14Ni70,0
CRA,Al20B10Co70,0
CRA,Al20B14Co66,0
CRA,Al20B14Ni66,0
CRA,Al20B18Co62,0
CRA,Al20B22Co58,0
CRA,Al20Cu10La70,0
CRA,Al20Cu10Ti70,0
CRA,Al20Cu20Ti60,0
CRA,Al20Cu60La20,0
CRA,Al20Cu70Ti10,0
CRA,Al20La10Ni70,0
CRA,Al20La20Ni60,0
CRA,Al20Mg40Zn40,0
CRA,Al20Mg50Zn30,0
CRA,Al20Mg60Zn20,0
CRA,Al20Mg70Zn10,0
CRA,Al20Ni60Zr20,0
CRA,Al20Ni70Zr10,0
CRA,Al20Ti80,0
CRA,Al20Zr80,0
CRA,Al24B14Ni62,0
CRA,Al24B18Ni58,0
CRA,Al24B22Co54,0
CRA,Al24B22Ni54,0
CRA,Al25Cu25Ti50,0
CRA,Al25Cu30Ti45,0
CRA,Al25Cu50Mn25,0
CRA,Al25Cu5Ti70,0
CRA,Al25Ti75,0
CRA,Al25Zr75,0
CRA,Al28B22Ni50,0
CRA,Al28B30Ni42,0
CRA,Al2Ce10Cu88,0
CRA,Al2Ce6Cu92,0
CRA,Al2Ce8Cu90,0
CRA,Al2Cu88Nd10,0
CRA,Al2Cu90Nd8,0
CRA,Al2Cu92Nd6,0
CRA,Al30Cu10Ti60,0
CRA,Al30Cu20Ti50,0
CRA,Al30Cu30Ti40,0
CRA,Al30Cu40Ti30,0
CRA,Al30Cu50La20,0
CRA,Al30Cu60La10,0
CRA,Al30La10Ni60,0
CRA,Al30La15Ni55,0
CRA,Al30Mg40Zn30,0
CRA,Al30Mg50Zn20,0
CRA,Al30Mg60Zn10,0
CRA,Al30Ni10Zr60,0
CRA,Al30Ni50Zr20,0
CRA,Al30Ni60Zr10,0
CRA,Al30Ti70,0
CRA,Al30Zr70,0
CRA,Al31Ni50Ti19,0
CRA,Al35Cu40Ti25,0
CRA,Al35Cu45Ti20,0
CRA,Al35Cu5Ti60,0
CRA,Al35Ti65,0
CRA,Al40Cu10La50,0
CRA,Al40Cu10Ti50,0
CRA,Al40Cu20La40,0
CRA,Al40Cu20Ti40,0
CRA,Al40Cu30La30,0
CRA,Al40Cu30Ti30,0
CRA,Al40Cu40La20,0
CRA,Al40Cu40Ti20,0
CRA,Al40Cu60T,0
CRA,Al40La10Ni50,0
CRA,Al40La15Ni45,0
CRA,Al40Mg40Zn20,0
CRA,Al40Mg50Zn10,0
CRA,Al40Mn25Si35,0
CRA,Al40Ni10Zr50,0
CRA,Al40Ni20Zr40,0
CRA,Al40Ni30Zr30,0
CRA,Al40Ni40Zr20,0
CRA,Al40Ni50Ti10,0
CRA,Al40Ni50Zr10,0
CRA,Al40Ti60,0
CRA,Al42Mg44Pd14,0
CRA,Al43Mg44Pd13,0
CRA,Al45Cr15Si40,0
CRA,Al45Cr20Si35,0
CRA,Al45Cu10Ti45,0
CRA,Al45Cu20Ti35,0
CRA,Al45Cu35Ti20,0
CRA,Al45Cu40Ti15,0
CRA,Al45Cu5Ti50,0
CRA,Al45Ge40V15,0
CRA,Al45Ti55,0
CRA,Al48Mg22Pd30,0
CRA,Al4B10Co86,0
CRA,Al4B14Co82,0
CRA,Al4Ce10Cu86,0
CRA,Al4Ce4Cu92,0
CRA,Al4Ce8Cu88,0
CRA,Al4Cu86Nd10,0
CRA,Al4Cu88Nd8,0
CRA,Al4Cu90Nd6,0
CRA,Al4Cu92Nd4,0
CRA,Al50Cu10La40,0
CRA,Al50Cu10Ti40,0
CRA,Al50Cu20La30,0
CRA,Al50Cu20Ti30,0
CRA,Al50Cu30La20,0
CRA,Al50Cu30Ti20,0
CRA,Al50Cu40La10,0
CRA,Al50Cu40V10,0
CRA,Al50Cu50,0
CRA,Al50Cu5Ti45,0
CRA,Al50Ge25V25,0
CRA,Al50Ge30V20,0
CRA,Al50Ge35V15,0
CRA,Al50Ge40V10,0
CRA,Al50La10Ni40,0
CRA,Al50La15Ni35,0
CRA,Al50Mg25Pd25,0
CRA,Al50Mg40Zn10,0
CRA,Al50Ni10Zr40,0
CRA,Al50Ni40Zr10,0
CRA,Al52Mg17Pd31,0
CRA,Al52Mg18Pd30,0
CRA,Al54Mg32Pd14,0
CRA,Al55Cr20Si25,0
CRA,Al55Cr25Si20,0
CRA,Al55Cu10Ti35,0
CRA,Al55Cu35Ti10,0
CRA,Al55Ge25V20,0
CRA,Al55La30Ni15,0
CRA,Al55La35Ni10,0
CRA,Al55Mg15Pd30,0
CRA,Al55Ni30Zr15,0
CRA,Al55Ti45,0
CRA,Al57Cr23Si20,0
CRA,Al57Cr28Si15,0
CRA,Al58Cr20Si22,0
CRA,Al59Cr19Si22,0
CRA,Al5Mg80Zn15,0
CRA,Al5Mg85Zn10,0
CRA,Al5Mg90Zn5,0
CRA,Al5Ni50Ti45,0
CRA,Al60Ce20Fe20,0
CRA,Al60Ce20Ni20,0
CRA,Al60Ce23Fe17,0
CRA,Al60Ce25Fe15,0
CRA,Al60Cr18Si22,0
CRA,Al60Cr20Si20,0
CRA,Al60Cr25Si15,0
CRA,Al60Cr30Si10,0
CRA,Al60Cr5Si35,0
CRA,Al60Cu10Ti30,0
CRA,Al60Cu20Ti20,0
CRA,Al60Cu25V15,0
CRA,Al60Cu35Ti5,0
CRA,Al60Cu35V5,0
CRA,Al60Cu40,0
CRA,Al60Cu5Ti35,0
CRA,Al60Gd20Ni20,0
CRA,Al60Ge20V20,0
CRA,Al60Ge35V5,0
CRA,Al60La10Ni30,0
CRA,Al60La40,0
CRA,Al60Mn20Si20,0
CRA,Al60Ni10Zr30,0
CRA,Al60Ti40,0
CRA,Al61Cr21Si18,0
CRA,Al62.5Ce25.5Fe12,0
CRA,Al62Cr19Si19,0
CRA,Al63Cr15Si22,0
CRA,Al63Cr19Si18,0
CRA,Al64Ce23Fe13,0
CRA,Al65Ce15Fe20,0
CRA,Al65Ce20Fe15,0
CRA,Al65Ce25Fe10,0
CRA,Al65Cr15Si20,0
CRA,Al65Cr20Ge15,0
CRA,Al65Cr20Si15,0
CRA,Al65Cr25Si10,0
CRA,Al65Cu15V20,0
CRA,Al65Cu20Mn15,0
CRA,Al65Cu20V15,0
CRA,Al65Ge15Mn20,0
CRA,Al65Ge20V15,0
CRA,Al65Ge30V5,0
CRA,Al65La25Ni10,0
CRA,Al65La30Ni5,0
CRA,Al65Mn20Si15,0
CRA,Al65Nd20Ni15,0
CRA,Al65Ni15Y20,0
CRA,Al65Ti35,0
CRA,Al66.6Mn17.4Si16,0
CRA,Al67Ce18Fe15,0
CRA,Al68.6Mn17.4Si14,0
CRA,Al68Cr15Si17,0
CRA,Al6Ce4Cu90,0
CRA,Al6Ce6Cu88,0
CRA,Al6Ce8Cu86,0
CRA,Al6Cu88Nd6,0
CRA,Al70.6Mn17.4Si12,0
CRA,Al70Ce10Cu20,0
CRA,Al70Ce10Fe20,0
CRA,Al70Ce15Cu15,0
CRA,Al70Ce15Fe15,0
CRA,Al70Ce20Fe10,0
CRA,Al70Ce20Ni10,0
CRA,Al70Cr10Si20,0
CRA,Al70Cr15Si15,0
CRA,Al70Cr20Si10,0
CRA,Al70Cr25Si5,0
CRA,Al70Cr5Si25,0
CRA,Al70Cu10Ti20,0
CRA,Al70Cu20La10,0
CRA,Al70Cu25V5,0
CRA,Al70Cu30,0
CRA,Al70Gd20Ni10,0
CRA,Al70Ge20V10,0
CRA,Al70Ge25V5,0
CRA,Al70La15Ni15,0
CRA,Al70La20Ni10,0
CRA,Al70La25Ni5,0
CRA,Al70La30,0
CRA,Al70Mn5Si25,0
CRA,Al70Nd20Ni10,0
CRA,Al70Ni10Y20,0
CRA,Al70Ni10Zr20,0
CRA,Al70Ni15Zr15,0
CRA,Al70Ni20Y10,0
CRA,Al70Ni25Zr5,0
CRA,Al70Ni30,0
CRA,Al70Ti30,0
CRA,Al71Ce17Fe12,0
CRA,Al72.5Mn17.4Si10.1,0
CRA,Al74.6Mn17.4Si8,0
CRA,Al74Mg5Pd21,0
CRA,Al75Ce10Co15,0
CRA,Al75Ce10Fe15,0
CRA,Al75Ce15Co10,0
CRA,Al75Ce15Cu10,0
CRA,Al75Ce15Fe10,0
CRA,Al75Ce15Nb10,0
CRA,Al75Ce20Fe5,0
CRA,Al75Ce5Co20,0
CRA,Al75Ce5Cu20,0
CRA,Al75Cr10Si15,0
CRA,Al75Cr15Si10,0
CRA,Al75Cr20Si5,0
CRA,Al75Cr5Si20,0
CRA,Al75Cu10V15,0
CRA,Al75Cu25,0
CRA,Al75Gd15Ni10,0
CRA,Al75Gd5Ni20,0
CRA,Al75Ge15V10,0
CRA,Al75La15Ni10,0
CRA,Al75Nd20Ni5,0
CRA,Al75Nd5Ni20,0
CRA,Al75Ni20Sm5,0
CRA,Al75Ni20Y5,0
CRA,Al75Ni5Sm20,0
CRA,Al75Ni5Y20,0
CRA,Al76.6Mn17.4Si6,0
CRA,Al76Cu8.5Mn15.5,0
CRA,Al77Ce10Co13,0
CRA,Al77Ce10Nb13,0
CRA,Al77Ce18Fe5,0
CRA,Al77Cu20V3,0
CRA,Al78.6Mn17.4Si4,0
CRA,Al80Ca10Ni10,0
CRA,Al80Ce10Cr10,0
CRA,Al80Ce10Mn10,0
CRA,Al80Ce10V10,0
CRA,Al80Ce15Co5,0
CRA,Al80Ce15Cr5,0
CRA,Al80Ce15Cu5,0
CRA,Al80Ce15Fe5,0
CRA,Al80Ce15Nb5,0
CRA,Al80Ce15Ni5,0
CRA,Al80Cr10Si10,0
CRA,Al80Cr20,0
CRA,Al80Cr5Si15,0
CRA,Al80Cu10La10,0
CRA,Al80Cu20,0
CRA,Al80Cu5V15,0
CRA,Al80Gd15Ni5,0
CRA,Al80La15Ni5,0
CRA,Al80La20,0
CRA,Al80Mn15Ni5,0
CRA,Al80Mn6Ni14,0
CRA,Al80Mn8Ni12,0
CRA,Al80Nd15Ni5,0
CRA,Al80Ni10Zr10,0
CRA,Al80Ni20,0
CRA,Al80Ni5Y15,0
CRA,Al80Ti20,0
CRA,Al81Cr19,0
CRA,Al82Fe4Ni14,0
CRA,Al82Mn4Ni14,0
CRA,Al82Mn6Ni12,0
CRA,Al82Mn8Ni10,0
CRA,Al82Ni10Zr8,0
CRA,Al82Sm18,0
CRA,Al83Ce10Cr7,0
CRA,Al83Ce10Mn7,0
CRA,Al83Ce2Cu15,0
CRA,Al83Cr17,0
CRA,Al83Fe3Ni14,0
CRA,Al83Mn4Ni13,0
CRA,Al83Ni15Zr2,0
CRA,Al84Co12Fe4,0
CRA,Al84Co14Fe2,0
CRA,Al84Co14Mn2,0
CRA,Al84Co8Ni8,0
CRA,Al84Cr16,0
CRA,Al84Fe2Ni14,0
CRA,Al84Fe3Ni13,0
CRA,Al84Fe4Ni12,0
CRA,Al84Fe8Ni8,0
CRA,Al84Mn2Ni14,0
CRA,Al84Mn4Ni12,0
CRA,Al84Mn6Ni10,0
CRA,Al84Mn8Ni8,0
CRA,Al85Ca5Ni10,0
CRA,Al85Ce10V5,0
CRA,Al85Ce13V2,0
CRA,Al85Ce5Mn10,0
CRA,Al85Ce5Nb10,0
CRA,Al85Co10Ni5,0
CRA,Al85Co1Ni14,0
CRA,Al85Cr10Si5,0
CRA,Al85Cr5Si10,0
CRA,Al85Cu10La5,0
CRA,Al85Fe1Ni14,0
CRA,Al85Fe2Ni13,0
CRA,Al85Fe3Ni12,0
CRA,Al85Fe5Ni10,0
CRA,Al85Fe8Si7,0
CRA,Al85Gd15,0
CRA,Al85Mn2Ni13,0
CRA,Al85Mn7Ni8,0
CRA,Al86Co10Fe4,0
CRA,Al86Co10Mn4,0
CRA,Al86Co12Mn2,0
CRA,Al86Co14,0
CRA,Al86Co1Ni13,0
CRA,Al86Co2Ni12,0
CRA,Al86Co3Ni11,0
CRA,Al86Co4Fe10,0
CRA,Al86Co5Ni9,0
CRA,Al86Co6Fe8,0
CRA,Al86Co8Fe6,0
CRA,Al86Co8Mn6,0
CRA,Al86Cr14,0
CRA,Al86Fe10Ni4,0
CRA,Al86Fe12Ni2,0
CRA,Al86Fe12Si2,0
CRA,Al86Fe1Ni13,0
CRA,Al86Fe4Ni10,0
CRA,Al86Fe5Ni9,0
CRA,Al86Fe6Ni8,0
CRA,Al86Fe7Ni7,0
CRA,Al86Fe8Ni6,0
CRA,Al86Mn4Ni10,0
CRA,Al86Mn6Ni8,0
CRA,Al86Mn8Ni6,0
CRA,Al86Ni14,0
CRA,Al87.5Ca10Fe2.5,0
CRA,Al87.5Ca10Ni2.5,0
CRA,Al87.5Ca2.5Ni10,0
CRA,Al87.5Ni7.5Zr5,0
CRA,Al87Ce8Cr5,0
CRA,Al87Ce8Mn5,0
CRA,Al87Co4Ni9,0
CRA,Al87Co9Fe4,0
CRA,Al87Cu8V5,0
CRA,Al87Fe4Ni9,0
CRA,Al87Fe5Ni8,0
CRA,Al87Fe6Ni7,0
CRA,Al88.75Ca1.25Ni10,0
CRA,Al88Ce2Cu10,0
CRA,Al88Ce2Mn10,0
CRA,Al88Ce5Cu7,0
CRA,Al88Ce8V4,0
CRA,Al88Co10Fe2,0
CRA,Al88Co10Mn2,0
CRA,Al88Co10Ni2,0
CRA,Al88Co11Ni1,0
CRA,Al88Co12,0
CRA,Al88Co1Ni11,0
CRA,Al88Co2Fe10,0
CRA,Al88Co2Ni10,0
CRA,Al88Co3Ni9,0
CRA,Al88Co4Fe8,0
CRA,Al88Co6Fe6,0
CRA,Al88Co6Mn6,0
CRA,Al88Co6Ni6,0
CRA,Al88Co7Ni5,0
CRA,Al88Co8Fe4,0
CRA,Al88Co8Mn4,0
CRA,Al88Co8Ni4,0
CRA,Al88Co9Ni3,0
CRA,Al88Cr10Si2,0
CRA,Al88Cr12,0
CRA,Al88Fe10Ni2,0
CRA,Al88Fe10Si2,0
CRA,Al88Fe12,0
CRA,Al88Fe2Ni10,0
CRA,Al88Fe4Ni8,0
CRA,Al88Fe5Ni7,0
CRA,Al88Fe6Ni6,0
CRA,Al88Fe8Ni4,0
CRA,Al88Mn4Ni8,0
CRA,Al88Mn6Ni6,0
CRA,Al88Mn8Ni4,0
CRA,Al88Ni12,0
CRA,Al89Ce1Fe10,0
CRA,Al89Ce6Mn5,0
CRA,Al89Ce6V5,0
CRA,Al89Ce8Cr3,0
CRA,Al89Co1Ni10,0
CRA,Al89Co2Ni9,0
CRA,Al89Co3Ni8,0
CRA,Al89Co4Ni7,0
CRA,Al89Co5Ni6,0
CRA,Al89Co6Ni5,0
CRA,Al89Fe1Ni10,0
CRA,Al89Fe2Ni9,0
CRA,Al89Fe3Ni8,0
CRA,Al89Fe4Ni7,0
CRA,Al89Fe5Ni6,0
CRA,Al89Fe6Ni5,0
CRA,Al89Fe7Ni4,0
CRA,Al89Fe9Ni2,0
CRA,Al89Mn2Ni9,0
CRA,Al8B10Co82,0
CRA,Al8B10Fe82,0
CRA,Al8B14Co78,0
CRA,Al8Ce6Cu86,0
CRA,Al8Cu82Nd10,0
CRA,Al8Cu86Nd6,0
CRA,Al8Cu88Nd4,0
CRA,Al8Ga2Mg90,0
CRA,Al8Ga3Mg89,0
CRA,Al90Ca5Fe5,0
CRA,Al90Ca5Ni5,0
CRA,Al90Ce5Cu5,0
CRA,Al90Ce5Nb5,0
CRA,Al90Ce5Ni5,0
CRA,Al90Co10,0
CRA,Al90Co2Fe8,0
CRA,Al90Co2Mn8,0
CRA,Al90Co2Ni8,0
CRA,Al90Co4Fe6,0
CRA,Al90Co4Mn6,0
CRA,Al90Co4Ni6,0
CRA,Al90Co5Ni5,0
CRA,Al90Co6Fe4,0
CRA,Al90Co6Mn4,0
CRA,Al90Co6Ni4,0
CRA,Al90Co8Fe2,0
CRA,Al90Co8Mn2,0
CRA,Al90Co8Ni2,0
CRA,Al90Cr10,0
CRA,Al90Cr5Si5,0
CRA,Al90Fe10,0
CRA,Al90Fe1Ni9,0
CRA,Al90Fe2Ni8,0
CRA,Al90Fe4Ni6,0
CRA,Al90Fe5Ni5,0
CRA,Al90Fe6Ni4,0
CRA,Al90Fe8Ni2,0
CRA,Al90Fe8Si2,0
CRA,Al90La5Ni5,0
CRA,Al90Mn2Ni8,0
CRA,Al90Mn4Ni6,0
CRA,Al90Mn6Ni4,0
CRA,Al90Mn8Ni2,0
CRA,Al90Nd1Ni9,0
CRA,Al90Ni10,0
CRA,Al90Ni5Zr5,0
CRA,Al91Co1Ni8,0
CRA,Al91Co2Ni7,0
CRA,Al91Fe1Ni8,0
CRA,Al91Fe2Ni7,0
CRA,Al91Fe3Ni6,0
CRA,Al91Fe6Ni3,0
CRA,Al92.5Ca2.5Fe5,0
CRA,Al92.5Ca2.5Ni5,0
CRA,Al92.5Ca7.5,0
CRA,Al92Co2Fe6,0
CRA,Al92Co2Mn6,0
CRA,Al92Co2Ni6,0
CRA,Al92Co4Fe4,0
CRA,Al92Co4Mn4,0
CRA,Al92Co4Ni4,0
CRA,Al92Co6Fe2,0
CRA,Al92Co6Mn2,0
CRA,Al92Co6Ni2,0
CRA,Al92Co8,0
CRA,Al92Cr8,0
CRA,Al92Fe2Ni6,0
CRA,Al92Fe4Ni4,0
CRA,Al92Fe5Ni3,0
CRA,Al92Fe6Ni2,0
CRA,Al92Fe8,0
CRA,Al92Mn2Ni6,0
CRA,Al92Mn4Ni4,0
CRA,Al92Mn6Ni2,0
CRA,Al92Mn8,0
CRA,Al92Nd2Ni6,0
CRA,Al92Nd4Ni4,0
CRA,Al92Nd6Ni2,0
CRA,Al92Ni8,0
CRA,Al93Ce2Cr5,0
CRA,Al93Ce2Mn5,0
CRA,Al94.1Ti5.9,0
CRA,Al94Ce2Cr4,0
CRA,Al94Ce2Fe4,0
CRA,Al94Ce2Mn4,0
CRA,Al94Ce2V4,0
CRA,Al94Ce4Co2,0
CRA,Al94Ce4Fe2,0
CRA,Al94Ce6,0
CRA,Al94Co2Fe4,0
CRA,Al94Co2Mn4,0
CRA,Al94Co2Ni4,0
CRA,Al94Co4Fe2,0
CRA,Al94Co4Mn2,0
CRA,Al94Co4Ni2,0
CRA,Al94Co6,0
CRA,Al94Cr6,0
CRA,Al94Fe2Ni4,0
CRA,Al94Fe4Ni2,0
CRA,Al94Fe6,0
CRA,Al94Gd6,0
CRA,Al94Mn2Ni4,0
CRA,Al94Mn4Ni2,0
CRA,Al94Mn6,0
CRA,Al94Nd2Ni4,0
CRA,Al94Nd4Ni2,0
CRA,Al94Nd6,0
CRA,Al94Ni6,0
CRA,Al94Sm6,0
CRA,Al95.8Ni0.7Ti3.5,0
CRA,Al95Ce2Co3,0
CRA,Al95Ce5,0
CRA,Al96Co2Fe2,0
CRA,Al96Co2Mn2,0
CRA,Al96Co2Ni2,0
CRA,Al96Co4,0
CRA,Al96Cr4,0
CRA,Al96Fe2Ni2,0
CRA,Al96Fe4,0
CRA,Al96Mn2Ni2,0
CRA,Al96Mn4,0
CRA,Al96Nd2Ni2,0
CRA,Al96Nd4,0
CRA,Al96Ni4,0
CRA,Al97.1Ti2.9,0
CRA,Al98.9Ti1.1,0
CRA,Al98Co2,0
CRA,Al98Fe2,0
CRA,Al98Mn2,0
CRA,Al98Nd2,0
CRA,Al98Ni2,0
CRA,Al9Ga2Mg89,0
CRA,Au20.9Pd62.6Si16.5,0
CRA,B10C10Ni80,0
CRA,B10C15Ni75,0
CRA,B10C20Ni70,0
CRA,B10C5Ni85,0
CRA,B10C8Ni82,0
CRA,B10Co70Si20,0
CRA,B10Co80Si10,0
CRA,B10Co82Si8,0
CRA,B10Co85Si5,0
CRA,B10Cr10Fe80,0
CRA,B10Cr12Fe78,0
CRA,B10Cr14Fe76,0
CRA,B10Cr15Fe75,0
CRA,B10Cr18Fe72,0
CRA,B10Cr20Fe70,0
CRA,B10Cr22Fe68,0
CRA,B10Cr5Fe85,0
CRA,B10Cr8Fe82,0
CRA,B10Cu10Fe80,0
CRA,B10Cu15Fe75,0
CRA,B10Cu1Fe89,0
CRA,B10Cu3Fe87,0
CRA,B10Cu5Fe85,0
CRA,B10Fe20Mn70,0
CRA,B10Fe65Ni25,0
CRA,B10Fe70Ni20,0
CRA,B10Fe75Mn15,0
CRA,B10Fe75Ni15,0
CRA,B10Fe75V15,0
CRA,B10Fe80Mn10,0
CRA,B10Fe80V10,0
CRA,B10Fe83.5Si6.5,0
CRA,B10Fe83Si7,0
CRA,B10Fe85Mn5,0
CRA,B10Fe85Mo5,0
CRA,B10Fe85V5,0
CRA,B10Fe87Mn3,0
CRA,B10Fe88Zr2,0
CRA,B10Fe89Mn1,0
CRA,B10Fe89Ni1,0
CRA,B10Mo65Si25,0
CRA,B10Mo80Si10,0
CRA,B10Mo85Si5,0
CRA,B10Mo90,0
CRA,B10Ni72Si18,0
CRA,B11.5C10Ni78.5,0
CRA,B11Fe75P14,0
CRA,B11Fe85P4,0
CRA,B12.5Co80.5Si7,0
CRA,B12C16Co72,0
CRA,B12C4Co84,0
CRA,B12C6Ni82,0
CRA,B12C8Co80,0
CRA,B12Cu10Fe78,0
CRA,B12Cu15Fe73,0
CRA,B12Cu1Fe87,0
CRA,B12Cu20Fe68,0
CRA,B12Cu3Fe85,0
CRA,B12Cu5Fe83,0
CRA,B12Fe20Mn68,0
CRA,B12Fe63Ni25,0
CRA,B12Fe73Mn15,0
CRA,B12Fe73V15,0
CRA,B12Fe78Mn10,0
CRA,B12Fe83Mn5,0
CRA,B12Fe83Ni5,0
CRA,B12Fe85Mn3,0
CRA,B12Fe85Ni3,0
CRA,B12Fe87Mn1,0
CRA,B12Fe87Ni1,0
CRA,B12Ni80Si8,0
CRA,B12Ni84Si4,0
CRA,B13C10Ni77,0
CRA,B13C12Ni75,0
CRA,B13Fe85Si2,0
CRA,B13Ni69Si18,0
CRA,B14C16Ni70,0
CRA,B14C20Ni66,0
CRA,B14C2Ni84,0
CRA,B14Co82Si4,0
CRA,B14Cu10Fe76,0
CRA,B14Cu15Fe71,0
CRA,B14Cu1Fe85,0
CRA,B14Cu20Fe66,0
CRA,B14Cu3Fe83,0
CRA,B14Cu5Fe81,0
CRA,B14Ni80Si6,0
CRA,B15C12Ni73,0
CRA,B15Co65Si20,0
CRA,B15Co85,0
CRA,B15Mo65Si20,0
CRA,B15Mo80Si5,0
CRA,B15Mo85,0
CRA,B16C16Co68,0
CRA,B16C20Co64,0
CRA,B16Cu10Fe74,0
CRA,B16Cu15Fe69,0
CRA,B16Cu1Fe83,0
CRA,B16Cu20Fe64,0
CRA,B16Cu3Fe81,0
CRA,B16Cu5Fe79,0
CRA,B16Ni68Si16,0
CRA,B16Ni80Si4,0
CRA,B16Ni84,0
CRA,B17C16Ni67,0
CRA,B17C8Ni75,0
